                     PVKU        VBLC        CITR        IEQY        ICLL        ORLL        FWXH        WFNM        PPVD        KXOW        UOPA        OBRP        BWXW        LTEJ        VRVA        AQLK        TKBD        YONL        XOWZ        DJUI        CAXJ        XNHM        CTQY        OCUY        TIUF        RZLC        KWEU        FGIW        WMMG        UIWN        RKGX        VSQG        LXUP        DERT        MBZT        ZXYW        SAIY        OROJ        IEAD        JWSF        GKGP        YEHV        RCYK        VHXP        SRFY        XPDP        UTIS        GHVC        LNFZ        YAPJ        ZNCE        DKZX        KBAV        ZXDV        ZQOZ        QAPI        NXHZ        PTCG        PBTE        BHIP        HZJF        APAT        OBFK        OOKY        ULIE        PKLG        EDPO        JINW        QUZM        WMEX        NASL        HKXY        FSFJ        SMGK        XVZI        NTHU        EPSS        IXDU        BXPX        NCPM        DRHK        WQVB        FHNX        THSS        AKCO        UNMS        KMOK        MDDP        ZQIP        XGBR        MXXU        TXYD        IKOB        VHVP        DGIK        LADK        FYWQ        APBC        UHIF        LXQD
        OBRP          -           -          499         282         190          -           -           -            9          -           -           -           -           -          394          -          136          -           -           -           -           -           -          678          -           -           -           -           -           -          918         534          -           -           -           -           -           -          483          -          171          -           -           -           -           -          523         999          -          668          -          777         578          -           -           68         844          -           -           -          804         427          -           -           -           -           -           -          870          -           -          688         637          -           -           -           -           -           -           -          121          -           -           -           -           70          -           -           -          727          -           -           -          150          -           -           -           -           -           -   
        BWXW         834          -           -          218          93          -           -           -          666          -          783          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          998          -           -           -           -          865         270          -          944          -           -          953          -           -           33          -           -           -          170          -           -           -           -           -           -          262          -           -           -           41          -          875          -           -           -          773          -           -           -           -           -           -           -           -          244         747          -           69         268          -          436          -           -           -           -           -           -          368          -           -          215          -           -           -           -           -           48          -          507         274          -           -          242         832  
        LTEJ          -           -           -           -           -           -           -           -          890          -           -           -           -           -          199          -           -           -           -           -           -           -           -           -           -           -           -           -          398         581          -           -           -          439          -           -           -           -           -           -           -           -           -          960          -           -           -           -           -           -           -           -           -           -          110          -           -           -          204          -          112          -           -           -           -           -           -           18          -           -          365         731          -           -           -           -           -           -           -           -           -           -           -           -           -           -          372          -          219          -           -          424          -           -           -           -           -           -           -           -   
        VRVA          -           -           -           -           -           -           -          153          -           -           -          394          -          199          -           -            2         489          -          531          -           -          721          -           -           -           -           -           -           -           -          348          -           -          946         607         568         894          -           -           -          890         250          -           -          442         944          -           -           -           -           -          417          -           82         477          -          373          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          753          -           -           95          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -   
        AQLK         709          -           -           -          847          -          229         718          -          753          -           -           -           -           -           -           -          739          -           -          596          -           -           -           -           -           -           -           -          281          -          431          -           -           -           -          570          -           -           -           -           -           -           -          995          -          807          -           -           -           24         180         147         818          -          315          -           -           -           -           -           -           -           -           -          837         219          -          679          -           -          318          -          639          -           -           -          548         790          -           -           -           -           -           22          -           -           -           -           -           -          310          -          687          -          100          -           -          707          86  
        TKBD          -           -           -           -           -           -           -          345          -           -           -          136          -           -            2          -           -           -          604          -           -           -           -           -           98          -          964          -           -           -           -          887          -           -          221         122         203          -          618          -           -           -           -          543          -           -          233          -           -           -          591          -           -          128         297          -           -           28         555          -           -           -           -          537          -           -          568          -           -           -           -           -           -           -          950          -          178          -           -          795          -           -           -           -           -           -           -          641          -           -           -           -           -           -          881         930          -          923          -           -   
        YONL          -           -           -           -           -           -           -           -           -           -           -           -           -           -          489         739          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          267          -           -           -           -           -          750         946          -           -           -           -           -           -           -          796          -          562         730          -          142          -          796          -          888          -           -           -           -          469          -           -           -          569          -          131          -           -           -           -           -           -          320          -           -           -           -          741          -           -           -           -           -          814          -           -           -          329          -           -          400          -           -           -           -           -           -   
        XOWZ         909         419          -           -           -           -          413          -           -           -           -           -           -           -           -           -          604          -           -           -           -           -          700         487          -          749          -           -           -           -           -           -           -          823          -          939          -           -           -           -           -           -          778          -           -          599          -           -           -           -           -           23          -          327         553          -           -           -           -          997          -           -          278          -          657          -           -           41          -           -          138          -           -           -           -           -           -           -           -           95          -           -           -           -           -          196          -           -           -           -           -           -           -           -          504          -           -           -           -           -   
        DJUI          -           -           -           -           -           -           -          673          -           -           -           -           -           -          531          -           -           -           -           -           -          283          -           -           -           -           -           -           -           -           -          569         231          -           -           -           -           -          142         524          -           -           -          671         775          -          171          -           -          169          16          -           -           -           75         777          -           -           -          323          -           -           -           -          919         432          -           -           -           -           -           -           -           -           -           -           -          703          -          432          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          993          -           -           -           -   
        CAXJ         685          -           -           -           -           -          956          -           -          220          -           -           -           -           -          596          -           -           -           -           -           -           -           -           -           -           -           -           -           -          836          -           -           -           -           -           -           -           -           -           -           -          645          -          453          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          902          -           -           -           -           -          716          -           -           -          970          -           -           -           -           -           -           -          814          -           -          379          -           -           -           -           -           -          245          -           -           -          919  
        XNHM          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          283          -           -           -           -           -           -          467          -           -           -           -           -           -          317          67          -           -           -           -           -           -           -           -           -           -           -           -          651         194          -           -           -           -           -           -          157         840         384         243          -           -           -           -           -          822         345          -          364          -           -          962          -           -           -           -          275          -          802          -          509          -           78         890          -           -          931          -           -           -           -           -          813          -           -           -           -          999         919          -           -   
        CTQY          -           -           -           -           -           -           -          785          -           -           -           -           -           -          721          -           -           -          700          -           -           -           -           -          960          -           -           -           -          946         986          -           -           -           -           -           -           -          110          -           -           -          363          -           -           -           -          719         751          -           -           -           -           -          255          -           -           -           -           -          278          -           -           -           -           -           -           -           -           -          445          -           -           45          -           -           -          200         885          -           -           -           -          430         354          -           -           -           -          689          -           -           -           -           -           -           -           -           -           -   
        OCUY          -           -           -          393          -           -           -           -           -           -          522         678          -           -           -           -           -           -          487          -           -           -           -           -           -           -           -           -           -          915          -          104          -           -           -           -           -          537          -          325          -          846          -           -           -           -           -          908          -           -           -           -           -           -           -           -           -          925          99          -          898          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          243          -           -           -          400          -          271          -          753          -          958         294          -           -           -           -          904         690          -           -           -           -           -   
        TIUF          -           -           -           -           -           -           -          880         775         988          -           -           -           -           -           -           98          -           -           -           -           -          960          -           -           -           -           -           -           -          505          -           -           -           68          -           -           -           -           -          690         502          -          362          -           -           -           -          743          -           -           -           -           -           -           -          339          -           -           -           -          807          -           -           -           -           -           -           -           -           -           -           -           -           -           -          225          -           -           -           -           -          756          -           -          424          -           -           -           -           -           -           -          246          21          -           -           -           -          448  
        RZLC          -           -           -           -           -           -           -           -           -          897          -           -           -           -           -           -           -           -          749          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          542          -          240         763          -           -           -           -           -           -          649          -           -           -          804          -          517          -           -          762          -           -           -           -           -           -           -           -          948          -           94          -           -           -           -           -           -           -           -           -           -           -           -          889          -           -           -           -           -           -           -          250          -           -           -           -          548         485          -           -           -           -           -           -           -   
        KWEU          -           78          -           -           -           -           -           -           -           -           -           -          998          -           -           -          964          -           -           -           -          467          -           -           -           -           -           -           -           -          719          -           -          781          -           -          217          -           -           -           -           -           -           -          502         576          -           -           -           -          162          -           -          672          -           -          491          -           -           -           -           -           -           -           -           -          645          -          132          -           -           -           -           -          221          -          285         583          -           -           -           -           -          601          -           -           -           -          668          -           -           -           -           -           -          116          -           -          464         530  
        FGIW          -           71          -           -           -           -           -          509          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          835         911         775          -          932          -          807          -           -           82         506          -           -          545          -           -           -           -          362          -           -           -           -          344          -           -           -           -           -           -           -           -          210          -           -           -           -          162          -           -           -           -           -           -          685          -           -           -           -          645          -          564          -           -           -           -           -          860          -           -           -           -          220          -          768          -           -           -           -   
        WMMG          -           -           -           -          128          -           -           -          397         863          -           -           -          398          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          309         845          -          606          -           -          589         690          -           -           -           -           -          602          -           -           -           -           -          835          -           -           -           -           -           -           -          818          -           -           -           -           -          343          -           -           -           -           -           -           -           -           -          222          -           -           -           -           -           -           -           -          896          -           -           -          968         629          -          915          -           -           -           85          -           -           -           -           -   
        UIWN          -           -           -          501          -          768          72          -          247          -          945          -           -          581          -          281          -           -           -           -           -           -          946         915          -           -           -           -           -           -           -          554          -           -           -           -          940          -           -           -           -           -           -           70          -           -           -           -           -           -           -          384          -           -           -           -          124          -          731          -           -           -           66          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          119         578         744          -           -           -           -           -           -           -           -           -          296          -           -          902          -           -           -   
        RKGX         696         962         264          -          633          -           -           -           -           -           -          918          -           -           -           -           -           -           -           -          836          -          986          -          505          -          719          -           -           -           -           -           -           -           -           -          911          -          631          -           -           -           -           -           -           -           -           46          -          863         958          -          146          -           -           -           -           -           -          906          -           -          612          -          656          -           -           -           -           -           -          168         904         420          -          599          -           -          434         645         850          -           -           -          781          -           -          498          -           -           -           -           -           -           -           -           -           -           -           -   
        VSQG          -           -           -          376          -           -          235          -          712          -           -          534         865          -          348         431         887          -           -          569          -           -           -          104          -           -           -          835         309         554          -           -           -          217          -          104          -           -           -          201         956          -           -           -           -           -           -          769          -           -           -           -           -           -           -           -           -           -           -           -          860          -           -           -           -          331          -           -           -           -          206          -          275          -           -           -          710         978          -           -          312          -           28         248         906          -          294          -           -           -           -           -           -           -           -          471         750          -           -           -   
        LXUP          -           -          430          44          -           -           -           -           -           -           -           -          270          -           -           -           -           -           -          231          -           -           -           -           -           -           -          911         845          -           -           -           -           -           -           -           -           -          224          -           -           -           -           -           -          449          -           -           -           -           -          481         920         934          -          431          -          883          -          148         368          -           -           -           -          241         240          -           -           -           -          165          -           -           -          665          -          450         951          -           -          454          -           -           -           -           -          882          -          839         753          -           -           -          925          -           -          683          -           -   
        DERT          -           -           -           -           -           -           -           -           -           -           -           -           -          439          -           -           -          267         823          -           -          317          -           -           -           -          781         775          -           -           -          217          -           -          473         253         985          -           -           -           -           -           -           -           -           -           -           -           -           -           -          822          -          983          -           -           -           -           -           -           -           -           -          963          -           -           -           -           -           -           -          323          -           -           -           -           -           -           -           -           -           -           -           70          -           -           -           -           -           -          894         350          -           -           -           -           -           -          766          -   
        MBZT          -           38          -           -           -          246          -           -           -           -           -           -          944          -          946          -          221          -           -           -           -           67          -           -           68          -           -           -          606          -           -           -           -          473          -           -           -          645          -           -           -           -           -           -           -           -          448          -           -           -           -           -           -          420         900         718          -           -           -           -           -           -           -          274          -           -           -           -          542          -           -           -          224         650          -           38          -           -           -          646          -          214          -           -           -           -           -           -           -           -           -           -           -           -          721         842          -           -          729          -   
        ZXYW          -           -           -           -           -           -           -          333          -          843          -           -           -           -          607          -          122          -          939          -           -           -           -           -           -          542          -          932          -           -           -          104          -          253          -           -           -          344          -           -          922          -           -           -          565          -           -           -           -           -           -           -           -           -           -          779          -           -           -           -           -           -           -          873          -           -           -          297          -          736          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          676         544         358          -           -          989          -          788          -           -   
        SAIY         286          -           -           -           -           -           -          537          -           -           -           -           -           -          568         570         203          -           -           -           -           -           -           -           -           -          217          -           -          940         911          -           -          985          -           -           -           -           -           -           -           -           -          385         899          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           34          -           -           -           -          167          -           -           -           -           -           -           -           -           -          603          -           -           -           -          445          -           -           -           -          651          -           71          -           -           -           -           -          897          -           -           -   
        OROJ         740          -           -           -           -           -           -           -           -           -          981          -          953          -          894          -           -           -           -           -           -           -           -          537          -          240          -          807         589          -           -           -           -           -          645         344          -           -          231          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          383          -           -           -           -           -           -           -           -           -           -           -           -           -            2         690          -           -           -           -           -           -           -           -           -           -           -   
        IEAD          -           -           -           -           -           -           -           -           -           -           -          483          -           -           -           -          618          -           -          142          -           -          110          -           -          763          -           -          690          -          631          -          224          -           -           -           -          231          -           -           -           -           -           -           -          536          -           -           -           -           -           -          324          -           -           -           -           -           -           -          713          -           -           61          -           -           -           -          809          -           -           -           -           -           12          41          -           -           -           -           -           -           -           -           -          517          -           -          652          -           -           -           -           -           -           -          188          -           -          620  
        JWSF          -           -           -           -           -          932          -           -           -           -           -           -           -           -           -           -           -          750          -          524          -           -           -          325          -           -           -           -           -           -           -          201          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          738          -           -           -           -           -          991          -          748          -           -           -           -           -           -           -           -           -           -           -           -           -           -           24         331          -           -           -           -           -           -          836         396          -           -           -           -           -           -           -           -           -           -           -           96          -          253          -           -           -   
        GKGP          -           -           -           -           -           -           -           -          714          -           -          171          33          -           -           -           -          946          -           -           -           -           -           -          690          -           -           82          -           -           -          956          -           -           -          922          -           -           -           -           -          892         869          -           -           -           -           -           -           36          -           -           -           -           -           -           -           -           -          452          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          185          -           -          787          -          730          -           -           -           -           -          638          -           -           -           -           -          323          -          299          -   
        YEHV         993          -           -           -           -          871          -          110         897          -           -           -           -           -          890          -           -           -           -           -           -           -           -          846         502          -           -          506          -           -           -           -           -           -           -           -           -           -           -           -          892          -           -           -           -           -          665         291          -           -           -           -           -           -           -           -           -           -           -           -           84          -           -           -           -           -          278          -           -          894         623          -           -           -           -           -           -           -          343          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          951          -           -   
        RCYK         803          -          168          -           -          322          -           -           -           -          128          -           -           -          250          -           -           -          778          -          645          -          363          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          869          -           -           -           -          491         160         651          -           -           -           -           -           -          785          -          327          -          428          -          266          -           -           -           -           -           -           -           -           -           -           -           -           -           -          469          -           -           -           -           -           -          674          -          762          -           -          654          -           -           -          455          -           -          599          -           -           -           -           -   
        VHXP          -           -           -           -           -          324          -           -          573          -           -           -           -          960          -           -          543          -           -          671          -           -           -           -          362          -           -           -           -           70          -           -           -           -           -           -          385          -           -           -           -           -           -           -          476          -          148          -           -           -          148          -           -           -           -           -           -           -           -          685         575          -          369         197          -           -          725          92          -          193          -           -           -           -          897          -          480          -           -           -           -           -           -          268          -           -          106          -           -           -           -           -           -           -           -           -           -           -           -            1  
        SRFY          -           -           -           -           -           -          572         149          -           -           -           -          170          -           -          995          -           -           -          775         453          -           -           -           -           -          502         545         602          -           -           -           -           -           -          565         899          -           -           -           -           -           -          476          -           -          347          -          516          -           -           -           -           -           -           -           -           -           -           -           -           -           13          -           -           -          795          -           -           -          271          -           -           -           -           -           -           -           -          114          -          872          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          568          -           -   
        XPDP          -           -           -           -           55          -          182          -          871          -           -           -           -           -          442          -           -           -          599          -           -           -           -           -           -          649         576          -           -           -           -           -          449          -           -           -           -           -          536          -           -           -          491          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          814          -           65          -           -           -           -          360          -           -           -           -           -           -           -          300          -          946          -          258          -           -           -           -           -           -           -           -           -          684          -           -           82         227  
        UTIS          -           -           -           -           -          519          -            8          -           -          662         523          -           -          944         807         233          -           -          171          -           -           -           -           -           -           -           -           -           -           -           -           -           -          448          -           -           -           -           -           -          665         160         148         347          -           -           -           -           -           -           -           -          759          -           -           -           -           -           -           -           -           -          617          -          773          -          602          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          620          -           -           -           -          164          -           -           -           -   
        GHVC         595          -           -           -           -           -          860          -           -           -           -          999          -           -           -           -           -           -           -           -           -          651         719         908          -           -           -           -           -           -           46         769          -           -           -           -           -           -           -           -           -          291         651          -           -           -           -           -           -           -           -           -          807         852          -           -           -           -           -           -           -           -           -          991          -           -           -           -          300         865          -           -          671          -          685         656         429          -           -           -           -           48          -           -           -           -           -          215          -           -          470          -           -           -           -           -           -           -          598          -   
        LNFZ          -          218          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          796          -           -           -          194         751          -          743          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          516          -           -           -           -           99          -           -          425          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          942          -           -           -           -           -           -           -          206          -           -           -          145          -           -           -           -           -           -          150          -          705          -           -           -           -           -   
        YAPJ          -           -           -           -           -          849          -           -          956          -          834         668          -           -           -           -           -           -           -          169          -           -           -           -           -          804          -          362          -           -          863          -           -           -           -           -           -           -           -           -           36          -           -           -           -           -           -           -           99          -           -           -           -           -          348          -           -          184          -           -          833          -           -          203          -           -          164          -           -           -           -           -          253          -          743          -           -           -           -          760          -           -           -           -           -          760          -           -           -           -           -           -          532         403          -           -          281          -           -           -   
        ZNCE          -           -           -           -          457          -           -           -           -           -           -           -           -           -           -           24         591         562          -           16          -           -           -           -           -           -          162          -          835          -          958          -           -           -           -           -           -           -           -          738          -           -           -          148          -           -           -           -           -           -           -           -           -          859          -           -           -          549         342          -           -           -           -          828          50          -           -           -           -           -           -           -           -           -           -           -           -           -           41          -           -           -           -           -           -           -           -           -          125          -          613          -           -          643          -           -           -           -           -           -   
        DKZX          -           -           -           -           -           -           96          -           -           -           -          777         262          -           -          180          -          730          23          -           -           -           -           -           -          517          -           -           -          384          -           -          481         822          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          793         886          -           -           -           -           -           -           -          191          -           -           -           -           -           -           -           -           -           -           -           -           -          276          41          -          145          -           -           -           -           -   
        KBAV         372          -           -           -           -          586          -           -          315          -           -          578          -           -          417         147          -           -           -           -           -           -           -           -           -           -           -           -           -           -          146          -          920          -           -           -           -           -          324          -           -           -           -           -           -           -           -          807         425          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          896          -           -           -          492          -           -           -          382          -          666          -           -          528          -           -           -          497          -           -           -           -           -           -           -           -           -           -          658          -           -           -           -   
        ZXDV          -          708          -           -           -           -          896          -           -           -          531          -           -           -           -          818         128         142         327          -           -           -           -           -           -           -          672          -           -           -           -           -          934         983         420          -           -           -           -           -           -           -           -           -           -           -          759         852          -           -          859          -           -           -           -          919          -           -           -           -           -          670          -           -           -          543          -          293          -          610          -           -           -           -          142          -           -           -          742          -           -           -           -           -          277         329          -           -           -           -          349          -           -           -           -           -           -           -          812          -   
        ZQOZ          -           -          969         918          -           -          862          -          237          -          311          -           -          110          82          -          297          -          553          75          -           -          255          -           -          762          -          344          -           -           -           -           -           -          900          -           -           -           -           -           -           -          785          -           -           -           -           -           -          348          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           55          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          326          -           -           -           -           -          985          -           -           -           -           -           -   
        QAPI          -           -           -           -          576          -           -           -           -           -           -           68          41          -          477         315          -          796          -          777          -          157          -           -           -           -           -           -           -           -           -           -          431          -          718         779          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          919          -           -           -          989          -           -           -          806          -           48         273          -           -           -           -           -          825          -           -          403          -          809          -           -           -          756          -           -           -           -           -           -           -           -           -          298          -          793         816          -          221          -           -           -           -           -   
        NXHZ          -          581         684         862          -           -           -           -           -           -           -          844          -           -           -           -           -           -           -           -           -          840          -           -          339          -          491          -           -          124          -           -           -           -           -           -           -           -           -          991          -           -          327          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          888          -           -          666          -           -          106          -           -          825          -           -           -           -           -           -           -           -           -           -           -           -          740          -           -           -          329          -           -          514          -           -           -           -   
        PTCG         146          -           -           -          120          -           -          451         847          -           -           -          875          -          373          -           28         888          -           -           -          384          -          925          -           -           -           -           -           -           -           -          883          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          184         549          -           -           -           -          989          -           -          774          71          -           -           -          520          -           -          878          -           -           -           -           -           -          438         913          47          -           -           -           -           -           -           -           -           -          612          -           -          561         366          -           -          738         770         825         394         596         594          -           -   
        PBTE          -           -           -           -           -           -           -           -           -           -           -           -           -          204          -           -          555          -           -           -           -          243          -           99          -           -           -           -          818         731          -           -           -           -           -           -           -           -           -          748          -           -          428          -           -           -           -           -           -           -          342          -           -           -           -           -           -          774          -          115          -           -           -           -           -           -           -           -          933          -           -           -           -           -           -           -           -           -           -          741         338         716          -           -           -           -           -           -           -           -           -           -           -           -          924          -           -           -           -           -   
        BHIP          -           -           -           -           -           -          956          -          360         923          -           -           -           -           -           -           -           -          997         323          -           -           -           -           -           -           -           -           -           -          906          -          148          -           -           -           -           -           -           -          452          -           -          685          -           -           -           -           -           -           -           -           -           -           -           -           -           71         115          -          944          -          668          -           -          434         222          -           -           -           -           -           -          481          -           -          335         441          -           -           -           -           -           -           -          355         456          -           -          616          -           -           -           -           -           -           -           -          373          -   
        HZJF          -           -           -           -           -          236          -          135          -           -           41         804          -          112          -           -           -           -           -           -           -           -          278         898          -           -           -           -           -           -           -          860         368          -           -           -           -           -          713          -           -           84         266         575          -           -           -           -           -          833          -           -           -           -           -           -           -           -           -          944          -           -           -           -           -           -          639          -          811         478          -          170          -           -           -           -           -           -           -           -           -           -          391          -           -           -           -           -           -           -          151          -           -          474          -          794          -          682          -          930  
        APAT          -           -           -           -           -           -           -           -           -           -          571         427         773          -           -           -           -           -           -           -           -           -           -           -          807          -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -          670          -          806          -           -           -           -           -           -           -           -           -           -           -          548          -           -           -           -          963          -           -          237          -           -           -           -           -           -           -           -           -          289          -           -           -          527          -           -           -           -           -           -          121          -           -           -   
